"site","Str_size","Str_density","Tetr_size","Tetr_density","Brach_cover","Brach_RW","Brach_size","lapa_size","lapa_dens","lapa_bm","str_sizeC","str_densC","nodi_size","nodi_ab"
"Almada",24.79,7.2,4.84375009549274,21.2,49,119.866654049419,7.996397,3.98771551724138,15.4666666666667,0.0227472878793369,24.79,7.2,4.68246606334842,221
"Alta",NA,1.6,5.55584451927702,16.6,0,160.342718592165,8.63046,4.69954838709677,4.06666666666667,0.0656389331404582,27.15,1.6,4.69819512195122,205
"Arpoador",19.97,23.2,3.09663482955641,25.1333333333333,82.9,116.003262981173,9.56405,3.99865384615385,3.46666666666667,0.0250464545889152,19.97,23.2,3.4063152173913,184
"Astúrias",16.69,137.6,3.40811333333333,34.7333333333333,84,115.817612691846,8.706372,4.76994478527607,10.8666666666667,0.0463900183259243,16.69,137.6,1.4559512987013,308
"Atalaia",32.85,19.2,4.76480251443001,24.2,10.8,118.989700709868,7.866836,5.02586363636364,3,0.0343250142814362,32.85,19.2,3.8323488372093,172
"Baleeiro",NA,3.2,5.10919587914083,14.1333333333333,0,113.638491838397,7.745677,3.66669832402235,12,0.0192492740006155,32.61,3.2,2.15822033898305,118
"Branca",25,28,4.76070532967033,22.0666666666667,84.4,87.9758215879215,9.435585,3.75917194570136,16.7333333333333,0.0195256599908149,25,28,2.67886206896552,203
"Bravinha",25.65,11.2,4.28253743589744,24.1333333333333,39.2,110.07051355697,8.22534,4.5685652173913,9.2,0.0334482219573285,25.65,11.2,3.34565384615385,104
"Canto do Itaguaí",26.48,13.6,4.90307291666667,3.13333333333333,93,85.2911899671495,8.587053,0,0,0,26.48,13.6,2.01292424242424,198
"Cibratel",27.2,20.8,4.30034042316156,28.6,76.2,110.855970174171,9.132736,4.54961386138614,6.73333333333333,0.0384844116567825,27.2,20.8,2.32482608695652,115
"Cigarras",NA,3.2,4.27935957723649,14.6666666666667,0,100.263013786365,6.494215,3.14707874015748,8.93333333333333,0.0240594224867866,33.33,3.2,1.9765,56
"Clubmed",30.03,7.2,4.85321618570906,10.8,17,97.4071923935084,8.646965,0,0,0,30.03,7.2,4.68616176470588,204
"Conchas",31.32,21.6,4.74084434640523,50.7333333333333,41,127.500828089544,9.371948,7.92970212765957,6.2,0.108431558691913,31.32,21.6,5.31870935960591,203
"Coqueiro",20.44,37.6,5.61205280663781,25.9333333333333,65,101.022024089911,8.575558,4.17255555555556,0.733333333333333,0.053870846989766,20.44,37.6,4.99598514851485,202
"Éden",19.36,23.2,3.21824358974359,1.86666666666667,80,94.8110294372457,7.318987,0,0,0,19.36,23.2,1.93279674796748,123
"Engenho",25.89,11.2,4.61533474699277,19.7333333333333,65,81.7735931248607,8.073099,3.64943169398907,12.2666666666667,0.0151066844788004,25.89,11.2,2.04842528735632,87
"Enseada (Guarujá)",21.97,17.6,2.71930026455026,19.4666666666667,91,NA,8.411062,5.48005607476636,7.13333333333333,0.0381754519038064,21.97,17.6,2.51267469879518,83
"Enseada (Ubatuba)",NA,1.6,4.86960048840049,3.86666666666667,0,109.790545383567,8.659702,5.19038461538462,0.866666666666667,0.0785758858466028,27.8,1.6,3.17542666666667,75
"Félix",NA,0.8,4.12931787856241,12.4666666666667,0.3,102.627719034475,6.726544,3.81725641025641,5.2,0.0200234915799477,18.38,0.8,2.56184782608696,92
"Ferradura",36.06,16,4.98649093166666,15.5333333333333,33,110.949660613632,10.628548,9.92233333333333,4.46666666666667,0.199244853434152,36.06,16,3.9759854368932,206
"Ferradurinha",28.28,NA,4.88441646825397,24.7333333333333,2.6,NA,NA,8.94607446808511,6.26666666666667,0.145544466282296,28.28,30.4,6.08643718592965,199
"Forno (Arraial do Cabo)",27.04,1.6,4.93537126984127,38.6,74,120.069603500473,9.335505,4.43515384615385,1.73333333333333,0.0287316867796574,27.04,1.6,3.39471078431373,204
"Forno (Búzios)",25.4,NA,3.8434081976629,21.6,0,123.396055209149,9.012538,8.55588421052632,6.4,0.148187359377075,25.4,34.4,4.11113658536585,205
"Forte",23.4,8,4.13602222222222,103.466666666667,31.5,116.652043928374,9.527629,7.96997297297297,2.4,0.106866908516112,23.4,8,4.87874885844749,219
"Geribá",33.08,27.2,4.80923869883041,21.4666666666667,5,133.605027210453,8.51296,10.0646545454545,7.26666666666667,0.185757725063299,33.08,27.2,5.03404597701149,87
"Grande (Ubatuba)",21.8,15.2,4.60723843314855,19.5333333333333,56.9,116.824876761549,9.012304,10.6563653846154,3.33333333333333,0.373407605442774,21.8,15.2,2.61871186440678,118
"Grumari",35.01,24,5.46035555555556,52.0666666666667,61.1,105.924922685708,11.152944,8.79018181818182,4.4,0.145727473368828,35.01,24,4.38694554455446,202
"Guaecá",28.67,4.8,4.84623809894544,18.4666666666667,45,72.8384427485524,9.403805,2.66061538461538,28.9333333333333,0.00755635292378385,28.67,4.8,2.10383,200
"Guaiúba",29.53,5.6,3.709828,23.7333333333333,80.5,79.1516749004261,8.876756,2.95797,6.66666666666667,0.0185096027369924,29.53,5.6,1.63877386934673,199
"Indaiá",23.03,8,5.40644791666667,4.4,36,96.3281013893234,10.47436,3.8603006993007,9.53333333333333,0.0233503411255434,23.03,8,1.56282914572864,199
"Iporanga",25.02,35.2,3.37335661490683,21.1333333333333,85.8,101.371532530697,9.297661,4.06668275862069,25.5333333333333,0.0256609058155094,25.02,35.2,2.08616949152542,59
"Itaguá",NA,0,3.88609981160814,12.8,0,NA,NA,5.17795454545455,1.46666666666667,0.103819357896253,NA,0,3.58339644970414,169
"Itaipu",25.92,16,4.32527444444444,63.9333333333333,67.2,135.164098629405,13.393434,15.0023448275862,1.93333333333333,0.611579930307589,25.92,16,4.64394214876033,121
"Joatinga",18.15,11.2,4.14225245791246,32.1333333333333,70,104.290341925275,9.679545,8.13992957746479,4.73333333333333,0.121974805577722,18.15,11.2,3.61940963855422,249
"Justa",20.24,9.6,4.7901633995798,18.0666666666667,75,94.834147299592,8.072714,5.33084722222222,4.8,0.075528081558459,20.24,9.6,4.15281773399015,203
"Lamberto",24.84,9.6,5.45698274137865,8.8,3,90.7739777522397,8.513406,4.0684347826087,4.6,0.0527148925191259,24.84,9.6,4.41811842105263,152
"Leblon",18.63,12.8,3.96566342848328,19.3333333333333,51,71.5647094223438,10.846171,10.8354117647059,1.13333333333333,0.267476825744824,18.63,12.8,3.47812,150
"Maranduba",33.84,5.6,4.22365607182018,13.6,0.2,97.8903865334337,8.308615,4.0838,4,0.0175526333108581,33.84,5.6,2.96508571428571,210
"Maricá",25.5026,49.6,3.83503083333333,55.2,35.7,110.79452741833,9.004542,8.08980952380952,1.4,0.166949919743506,25.5026,49.6,2.98014285714286,63
"Matarazzo",28.07,40,3.50908247126437,0.666666666666667,94,86.4095259490098,8.621404,6.07402222222222,3,0.058021912213054,28.07,40,3.23336842105263,133
"Meio",NA,4,5.01264939393939,28.2666666666667,63.1,137.147343421849,9.079755,4.81402836879433,9.4,0.0392042320630393,26.82,4,4.39155445544554,202
"Morto",NA,0.8,3.70601908864556,6.73333333333333,0,120.340333116096,8.38565,3.98015217391304,3.06666666666667,0.0201956849805989,25.1,0.8,4.11682142857143,112
"Pernambuco",30.97,10.4,3.52152896270396,20.8666666666667,63.4,91.073544681372,9.561328,2.22779444444444,13.4666666666667,0.00488350896398889,30.97,10.4,2.36010050251256,199
"Pescadores",21.13,4.8,3.79092205128205,39.2,90,81.1869529857081,8.795337,5.04929896907217,6.53333333333333,0.0602221130539557,21.13,4.8,2.04901904761905,105
"Picinguaba",NA,3.2,4.14863724386724,24.8666666666667,65.1,81.3325819121704,7.069162,3.48489673913043,12.2,0.0172673249801672,32.08,3.2,3.07623529411765,102
"Piratininga",27.24,36.8,3.09042850295674,55.6666666666667,28,119.099902876224,10.866714,14.2472857142857,0.933333333333333,0.483291623315551,27.24,36.8,4.88548148148148,27
"Ponta da Cabeça",23.82,11.2,5.60269111111111,40.9333333333333,42.5,117.07718798598,10.663764,8.02601041666667,6.4,0.0926723302137816,23.82,11.2,3.50325,76
"Pontal da Cruz",34.12,6.4,4.66327144522145,3.53333333333333,73,86.0291626222735,10.457765,5.76423357664234,9.2,0.0872339092637815,34.12,6.4,3.63090404040404,198
"Prainha (Arraial do Cabo)",35.3,16.8,5.0995404040404,21,48.5,115.857944774176,11.466,8.60533644859813,7.13333333333333,0.11299874295556,35.3,16.8,4.49098333333333,60
"Prainha (Paraty)",NA,0.8,4.42469410651497,21.9333333333333,70.4,88.7668558050555,7.960125,2.15776136363636,5.93333333333333,0.00213590594387507,33.5,0.8,4.06991095890411,146
"Preta",29.06,21.6,3.65403248120301,17.2666666666667,88.9,74.7100785692402,9.791588,2.94205607476635,7.13333333333333,0.00871571583986251,29.06,21.6,1.76468316831683,202
"Ranchos",NA,3.2,3.8685403019828,16.6,2,NA,NA,3.94206666666667,6,0.0219492907797217,27.94,3.2,4.61659504132231,121
"Riviera de São Lourenço",17.82,75.2,4.94798610228222,18.7333333333333,62,86.1408417157993,10.316342,4.84120930232558,5.73333333333333,0.0674999906839552,17.82,75.2,2.49738759689922,129
"São Pedro",24.93,15.2,4.18169676676265,22.6666666666667,71.6,90.6805802765399,9.162738,3.6950625,10.6666666666667,0.0167998697987952,24.93,15.2,2.13440703517588,199
"Saquarema",25.92,43.2,4.57022222222222,63.8,22,132.785299741141,11.391698,10.9245692307692,4.33333333333333,0.270387776708177,25.92,43.2,5.48146568627451,204
"Sonho",20.49,32.8,4.5640251615149,13.8,90.3,NA,6.9086,4.28501639344262,4.06666666666667,0.0340739319007912,20.49,32.8,1.65372625698324,179
"Sorocotuba",32.25,6.4,4.07860883553151,35.7333333333333,80,90.5125073642625,9.022731,5.36438333333333,8,0.0543165810292296,32.25,6.4,2.01737078651685,89
"Taguaíba",28.09,10.4,3.25894695261438,30.6,89.1,83.7881074263917,7.562228,4.41553260869565,6.13333333333333,0.0500872580986751,28.09,10.4,1.49279017857143,224
"Tarituba",NA,0,3.87757143267652,5.53333333333333,0,NA,NA,5.03225,0.533333333333333,0.0345159000063663,NA,0,4.36732642487047,193
"Toque Toque Grande",26.11,16.8,4.04826569658066,14.8,53.6,77.9956127117688,9.075201,2.78759751037344,30.4666666666667,0.00841640806809383,26.11,16.8,2.18364285714286,98
"Toque Toque Pequeno",28.67,25.6,4.18339738344988,18.5333333333333,23.1,80.6222105823401,6.371938,2.24224022346369,19.1333333333333,0.00334149840814512,28.67,25.6,1.69683673469388,98
"Vermelha",20.52,24,4.49824832298137,20.9333333333333,33.8,134.465375444442,10.864956,8.71,2.2,0.187277853232774,20.52,24,4.6515472972973,148
